SAE Chapter Name (217 DB),Matched Institution (1440 DB),Match Score,Link 1,Link 2,Link 3
Central Michigan University,Central Michigan University,100,https://engage.apps.cmich.edu/organization/sigma-alpha-epsilon,https://engage.apps.cmich.edu/organization/sigma-alpha-epsilon,https://www.sae.net/chapter/central-michigan-university-michigan-delta-omega/
Youngstown State University,Youngstown State University,100,https://ysu.edu/greek-life/fraternities,https://ysu.edu/greek-life/fraternities,https://ysu.edu/greek-life/fraternities
Arizona State University,NO MATCH,89,,,
East Tennessee State University,East Tennessee State University,100,https://www.saetnal.org/,https://www.saetnal.org/,https://www.saetnal.org/
Eastern New Mexico University,NO MATCH,83,,,
Texas Christian University,Texas Christian University,100,https://engage.tcu.edu/organization/sae,https://engage.tcu.edu/organization/sae,https://engage.tcu.edu/organization/sae
University of Texas at San Antonio,The University of Texas at San Antonio,94,https://www.greekrank.com/uni/369/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/,https://www.greekrank.com/uni/369/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/,https://www.greekrank.com/uni/369/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/
UC Santa Barbara,NO MATCH,58,,,
Texas A&M University,NO MATCH,89,,,
Towson University,Towson University,100,https://www.towson.edu/studentlife/activities/fraternity-sorority/recognized.html,https://www.towson.edu/studentlife/activities/fraternity-sorority/recognized.html,https://www.towson.edu/studentlife/activities/fraternity-sorority/recognized.html
UNC Wilmington,NO MATCH,74,,,
University of Akron,University of Arizona,90,https://greek.arizona.edu/sigma-alpha-epsilon,https://greek.arizona.edu/sigma-alpha-epsilon,https://www.greekrank.com/uni/67/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/
University of Delaware,University of Delaware,100,https://www.udel.edu/students/involvement/fsll/chapters/sigma-alpha-epsilon/,https://www.udel.edu/students/involvement/fsll/chapters/sigma-alpha-epsilon/,https://www.greekrank.com/uni/109/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/
University of Louisville,University of Louisville,100,https://www.greekrank.com/uni/307/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/rating-2108819/,https://www.greekrank.com/uni/307/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/rating-2108819/,https://www.greekrank.com/uni/307/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/rating-2108819/
University of La Verne,University of La Verne,100,https://laverne.edu/student-life/fraternity-sorority-life/,https://laverne.edu/student-life/fraternity-sorority-life/,https://www.greekrank.com/uni/610/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/
"University of Nevada, Las Vegas",University of Nevada-Las Vegas,100,https://www.unlv.edu/sia/fraternity-sorority,https://www.unlv.edu/sia/fraternity-sorority,https://www.unlv.edu/sia/fraternity-sorority
Winthrop University,Winthrop University,100,https://www.winthrop.edu/studentorgs/sigma-alpha-epsilon.aspx,https://www.winthrop.edu/studentorgs/sigma-alpha-epsilon.aspx,https://www.instagram.com/winthropsae/
UC San Diego,NO MATCH,63,,,
UC Irvine,NO MATCH,48,,,
University of North Alabama,University of North Alabama,100,https://www.una.edu/fsl/index.html,https://www.una.edu/fsl/index.html,https://thecrimsonwhite.com/110725/top-stories/sae-fraternity-accused-of-hazing-in-recent-lawsuit/
Albright College,Albright College,100,https://www.albright.edu/greek-life/,https://www.albright.edu/greek-life/,https://www.greekrank.com/uni/127/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/
Embry‑Riddle Daytona,NO MATCH,57,,,
Duquesne University,Duquesne University,100,https://www.greekrank.com/uni/152/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/,https://www.greekrank.com/uni/152/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/,https://www.greekrank.com/uni/152/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/
Western Carolina University,Western Carolina University,100,https://www.wcu.edu/experience/dean-of-students/greek-student-engagement/organizations.aspx,https://www.greekrank.com/uni/384/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/,https://www.greekrank.com/uni/384/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/
University of North Florida,University of North Florida,100,https://www.greekrank.com/uni/241/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/,https://www.greekrank.com/uni/241/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/,https://www.greekrank.com/uni/241/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/
Nicholls State University,Nicholls State University,100,https://www.nicholls.edu/greek/,https://www.greekrank.com/uni/616/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/,https://www.greekrank.com/uni/616/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/
Wake Forest University,Wake Forest University,100,https://www.greekrank.com/uni/83/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/,https://www.greekrank.com/uni/83/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/,https://www.greekrank.com/uni/83/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/
Kennesaw State University,Kennesaw State University,100,https://www.kennesaw.edu/student-affairs/involvement/fraternity-sorority-life/our-community/interfraternity-council/sigma-alpha-epsilon.php,https://www.kennesaw.edu/student-affairs/involvement/fraternity-sorority-life/our-community/interfraternity-council/sigma-alpha-epsilon.php,https://www.kennesaw.edu/student-affairs/involvement/fraternity-sorority-life/our-community/interfraternity-council/sigma-alpha-epsilon.php
Rowan University,Rowan University,100,https://www.greekrank.com/uni/295/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/,https://www.greekrank.com/uni/295/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/,https://www.greekrank.com/uni/295/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/
University of Colorado Colorado Springs,University of Colorado Colorado Springs,100,https://www.uccs.edu/experience/fraternities-and-sororities,https://www.uccs.edu/experience/fraternities-and-sororities,https://www.uccs.edu/experience/fraternities-and-sororities
McDaniel College,McDaniel College,100,https://www.greekrank.com/uni/606/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/,https://www.greekrank.com/uni/606/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/,https://www.greekrank.com/uni/606/fraternity/SAE-Sigma-Alpha-Epsilon/88/rating/
New Jersey Institute of Technology,New Jersey Institute of Technology,100,https://www.njit.edu/greeklife/njit-fraternities-sororities,https://www.njit.edu/greeklife/njit-fraternities-sororities,https://www.njit.edu/greeklife/njit-fraternities-sororities
Stockton University,Stockton University,100,https://stockton.edu/fraternity-sorority-life/chapters-councils/recognized-chapters.html,https://stockton.edu/fraternity-sorority-life/chapters-councils/recognized-chapters.html,https://stockton.edu/fraternity-sorority-life/chapters-councils/recognized-chapters.html
University of Wisconsin–La Crosse,University of Wisconsin-La Crosse,100,https://www.sae.net/chapter/wisconsin-lambda-chi/,https://www.sae.net/chapter/wisconsin-lambda-chi/,https://www.uwlax.edu/university-centers/orgs/fraternities-sororities/welcome/
