Institution,Query,Link 1,Link 2,Link 3
Duke University,Duke University SNU frat,https://www.greekrank.com/uni/151/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/151/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/151/fraternity/SNU-Sigma-Nu/92/rating/
Albion College,Albion College SNU frat,https://www.albion.edu/offices/campus-life/greek-life/,https://albionpleiad.com/2025/02/sigma-nu-house-closed-president-says-although-we-are-down-we-are-not-out/,https://www.greekrank.com/uni/126/fraternity/SNU-Sigma-Nu/92/rating/
University of Toledo,University of Toledo SNU frat,https://www.utoledo.edu/getinvolved/greek/,https://www.utoledo.edu/getinvolved/greek/,https://www.greekrank.com/uni/30/fraternities/
University of North Dakota,University of North Dakota SNU frat,https://und.edu/student-life/student-involvement/fraternity-and-sorority-life/index.html,https://und.edu/student-life/student-involvement/fraternity-and-sorority-life/index.html,https://und.edu/student-life/student-involvement/fraternity-and-sorority-life/index.html
Bradley University,Bradley University SNU frat,https://www.greekrank.com/uni/182/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/182/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/182/fraternity/SNU-Sigma-Nu/92/rating/
University of Cincinnati-Main Campus,University of Cincinnati-Main Campus SNU frat,https://www.uc.edu/campus-life/fraternity-sorority-life/our-community/fraternities.html,https://www.uc.edu/campus-life/fraternity-sorority-life/our-community/fraternities.html,https://www.uc.edu/campus-life/fraternity-sorority-life/our-community/fraternities.html
University of Central Missouri,University of Central Missouri SNU frat,https://catalog.ucmo.edu/content.php?catoid=17&navoid=673,https://www.facebook.com/UCMfsl/,https://www.facebook.com/UCMfsl/
Vanderbilt University,Vanderbilt University SNU frat,https://www.greekrank.com/uni/104/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/104/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/104/fraternity/SNU-Sigma-Nu/92/rating/
High Point University,High Point University SNU frat,https://www.highpoint.edu/fraternity-sorority-life/,https://www.highpoint.edu/fraternity-sorority-life/,https://www.highpoint.edu/fraternity-sorority-life/
George Washington University,George Washington University SNU frat,https://www.greekrank.com/uni/51/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/51/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/51/fraternity/SNU-Sigma-Nu/92/rating/
University of South Carolina Aiken,University of South Carolina Aiken SNU frat,https://www.usca.edu/departments/student-affairs/greek-life/fraternity-chapters/,https://www.usca.edu/departments/student-affairs/greek-life/fraternity-chapters/,https://www.usca.edu/departments/student-affairs/greek-life/fraternity-chapters/
San Jose State University,San Jose State University SNU frat,https://sanjosestatesigmanu.org/,https://www.sjsu.edu/getinvolved/fraternity-and-sorority-life/index.php,https://www.sjsu.edu/getinvolved/fraternity-and-sorority-life/index.php
University of Colorado Boulder,University of Colorado Boulder SNU frat,https://www.greekrank.com/uni/334/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/334/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/334/fraternity/SNU-Sigma-Nu/92/rating/
Baylor University,Baylor University SNU frat,https://fsl.web.baylor.edu/,https://fsl.web.baylor.edu/,https://www.greekrank.com/uni/165/fraternities/
Indiana State University,Indiana State University SNU frat,https://indianastate.edu/about/engagement/student-activities-and-organizations/fraternity-and-sorority-life,https://indianastate.edu/about/engagement/student-activities-and-organizations/fraternity-and-sorority-life,https://indianastate.edu/about/engagement/student-activities-and-organizations/fraternity-and-sorority-life
California State University-San Bernardino,California State University-San Bernardino SNU frat,https://www.csusb.edu/student-leadership-engagement/fraternity-sorority-life/fraternities-and-sororities-csusb,https://www.csusb.edu/student-leadership-engagement/fraternity-sorority-life/fraternities-and-sororities-csusb,https://www.csusb.edu/student-leadership-engagement/fraternity-sorority-life/fraternities-and-sororities-csusb
University of California-Berkeley,University of California-Berkeley SNU frat,https://www.greekrank.com/uni/331/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/331/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/331/fraternity/SNU-Sigma-Nu/92/rating/
Colorado State University-Fort Collins,Colorado State University-Fort Collins SNU frat,https://fsl.colostate.edu/chapters/sigma-nu/,https://fsl.colostate.edu/chapters/sigma-nu/,https://www.greekrank.com/uni/220/fraternity/SNU-Sigma-Nu/92/rating/
Georgia Southern University,Georgia Southern University SNU frat,https://ww2.georgiasouthern.edu/students/greeklife/,https://ww2.georgiasouthern.edu/students/greeklife/,https://www.greekrank.com/uni/96/fraternity/SNU-Sigma-Nu/92/rating/
Mississippi State University,Mississippi State University SNU frat,https://www.greeks.msstate.edu/,https://www.greekrank.com/uni/98/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/98/fraternity/SNU-Sigma-Nu/92/rating/
Appalachian State University,Appalachian State University SNU frat,https://www.sigmanuappstate.org/,https://www.greekrank.com/uni/129/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/129/fraternity/SNU-Sigma-Nu/92/rating/
Citadel Military College of South Carolina,Citadel Military College of South Carolina SNU frat,https://www.citadel.edu/icra/sigma-delta-psi/,,
Minnesota State University-Mankato,Minnesota State University-Mankato SNU frat,https://mankato.mnsu.edu/university-life/activities-and-organizations/fraternity-and-sorority-life/our-FSL-community/fraternities/,https://mankato.mnsu.edu/university-life/activities-and-organizations/fraternity-and-sorority-life/our-FSL-community/fraternities/,https://mankato.mnsu.edu/university-life/activities-and-organizations/fraternity-and-sorority-life/our-FSL-community/fraternities/
Washington State University,Washington State University SNU frat,https://www.greekrank.com/uni/379/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/379/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/379/fraternity/SNU-Sigma-Nu/92/rating/
Austin Peay State University,Austin Peay State University SNU frat,https://www.apsu.edu/greek-life/,https://www.apsu.edu/greek-life/,https://apsu.campuslabs.com/engage/organization/greeklife
SUNY Buffalo State University,SUNY Buffalo State University SNU frat,https://www.buffalo.edu/studentlife/life-on-campus/clubs-and-activities/search/fraternity-and-sorority-life.html,https://www.buffalo.edu/studentlife/life-on-campus/clubs-and-activities/search/fraternity-and-sorority-life.html,https://www.buffalo.edu/studentlife/life-on-campus/clubs-and-activities/search/fraternity-and-sorority-life.html
Midwestern State University,Midwestern State University SNU frat,https://msutexas.edu/student-life/involvement/greek-life/,https://www.greekrank.com/uni/111/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/111/fraternity/SNU-Sigma-Nu/92/rating/
Cornell University,Cornell University SNU frat,https://www.sigmanucornell.org/,https://www.greekrank.com/uni/90/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/90/fraternity/SNU-Sigma-Nu/92/rating/
University of Puget Sound,University of Puget Sound SNU frat,https://www.pugetsound.edu/greek-life/fraternity-life,https://www.pugetsound.edu/greek-life/fraternity-life,https://www.pugetsound.edu/greek-life/fraternity-life
University of Mary Washington,University of Mary Washington SNU frat,https://www.greekrank.com/uni/837/fraternities/,https://www.greekrank.com/uni/837/fraternities/,https://www.greekrank.com/uni/837/fraternities/
Butler University,Butler University SNU frat,https://www.butler.edu/student-life/fraternity-sorority-life/sigma-nu-2/,https://www.butler.edu/student-life/fraternity-sorority-life/sigma-nu-2/,https://www.greekrank.com/uni/196/fraternity/SNU-Sigma-Nu/92/rating/
Dartmouth College,Dartmouth College SNU frat,https://www.greekrank.com/uni/41/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/41/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/41/fraternity/SNU-Sigma-Nu/92/rating/
University of Southern Mississippi,University of Southern Mississippi SNU frat,https://www.usm.edu/fraternity-sorority-life/index.php,https://www.usm.edu/fraternity-sorority-life/index.php,https://www.usm.edu/fraternity-sorority-life/index.php
Clemson University,Clemson University SNU frat,https://www.greekrank.com/uni/213/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/213/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/213/fraternity/SNU-Sigma-Nu/92/rating/
Western Illinois University,Western Illinois University SNU frat,https://www.wiu.edu/greeklife/,https://www.greekrank.com/uni/385/fraternities/,https://www.greekrank.com/uni/385/fraternities/
Yale University,Yale University SNU frat,https://www.greekrank.com/uni/432/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/432/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/432/fraternity/SNU-Sigma-Nu/92/rating/
Villanova University,Villanova University SNU frat,https://www.greekrank.com/uni/371/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/371/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/371/fraternity/SNU-Sigma-Nu/92/rating/
Coastal Carolina University,Coastal Carolina University SNU frat,https://www.coastal.edu/osl/greek/,https://www.coastal.edu/osl/greek/,https://www.coastal.edu/osl/greek/about/
Wake Forest University,Wake Forest University SNU frat,https://www.greekrank.com/uni/83/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/83/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/83/fraternity/SNU-Sigma-Nu/92/rating/
California State University-Fresno,California State University-Fresno SNU frat,https://studentaffairs.fresnostate.edu/studentinvolvement/fraternity-sorority-life/index.html,https://studentaffairs.fresnostate.edu/studentinvolvement/fraternity-sorority-life/index.html,https://studentaffairs.fresnostate.edu/studentinvolvement/fraternity-sorority-life/index.html
Middle Tennessee State University,Middle Tennessee State University SNU frat,https://fsl.mtsu.edu/,https://fsl.mtsu.edu/,https://www.greekrank.com/uni/95/fraternity/SNU-Sigma-Nu/92/rating/
West Texas A & M University,West Texas A & M University SNU frat,https://www.greekrank.com/uni/470/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/470/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/470/fraternity/SNU-Sigma-Nu/92/rating/
Wichita State University,Wichita State University SNU frat,https://www.wichita.edu/student_life/student_engagement_belonging/fraternity_and_sorority_life/index.php,https://www.wichita.edu/student_life/student_engagement_belonging/fraternity_and_sorority_life/index.php,https://www.wichita.edu/student_life/student_engagement_belonging/fraternity_and_sorority_life/index.php
Louisiana Tech University,Louisiana Tech University SNU frat,https://www.latech.edu/student-organizations/sigma-nu-fraternity/,https://www.latech.edu/student-organizations/sigma-nu-fraternity/,https://www.latech.edu/student-organizations/sigma-nu-fraternity/
University of North Carolina at Greensboro,University of North Carolina at Greensboro SNU frat,https://www.uncg.edu/campus-life-resources/groups-activities-programs/fraternity-sorority-life/,https://www.uncg.edu/campus-life-resources/groups-activities-programs/fraternity-sorority-life/,https://www.uncg.edu/campus-life-resources/groups-activities-programs/fraternity-sorority-life/
College of Charleston,College of Charleston SNU frat,https://charleston.edu/higdon-center/fraternity-sorority-life/index.php,https://charleston.edu/higdon-center/fraternity-sorority-life/index.php,https://charleston.edu/higdon-center/fraternity-sorority-life/index.php
West Coast University-Ontario,West Coast University-Ontario SNU frat,,,
Pepperdine University,Pepperdine University SNU frat,https://community.pepperdine.edu/seaver/studentactivities/greeks/,https://community.pepperdine.edu/seaver/studentactivities/greeks/,https://www.greekrank.com/uni/266/fraternities/
University of Arkansas at Little Rock,University of Arkansas at Little Rock SNU frat,https://ualr.edu/studentorgs/fsl/,https://ualr.edu/studentorgs/fsl/,https://www.greekrank.com/uni/477/fraternities/
California State University-Fullerton,California State University-Fullerton SNU frat,https://www.fullerton.edu/sll/fsl-life/index.html,https://www.fullerton.edu/sll/fsl-life/index.html,https://www.greekrank.com/uni/53/fraternity/SNU-Sigma-Nu/92/rating/
Western Kentucky University,Western Kentucky University SNU frat,https://www.wku.edu/wkugreeks/ifc/sigmanu.php,https://www.greekrank.com/uni/112/fraternity/SNU-Sigma-Nu/92/rating/rating-2226107/,https://www.greekrank.com/uni/112/fraternity/SNU-Sigma-Nu/92/rating/rating-2226107/
Indiana University-Bloomington,Indiana University-Bloomington SNU frat,https://indianasigmanu.com/,https://www.greekrank.com/uni/71/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/71/fraternity/SNU-Sigma-Nu/92/rating/
Slippery Rock University of Pennsylvania,Slippery Rock University of Pennsylvania SNU frat,https://www.sru.edu/life-at-sru/student-activities/clubs-and-organizations/fraternity-and-sorority-life,https://www.sru.edu/life-at-sru/student-activities/clubs-and-organizations/fraternity-and-sorority-life,https://www.sru.edu/life-at-sru/student-activities/clubs-and-organizations/fraternity-and-sorority-life
Florida Southern College,Florida Southern College SNU frat,https://www.flsouthern.edu/campus-life/clubs-and-more/greek-life,https://flsouthern.campuslabs.com/engage/organization/fraternity---sorority-life,https://flsouthern.campuslabs.com/engage/organization/fraternity---sorority-life
Westminster College,Westminster College SNU frat,https://www.westminster.edu/campus/involved/greek.cfm,https://www.westminster.edu/campus/involved/greek.cfm,https://www.greekrank.com/uni/547/fraternity/SNU-Sigma-Nu/92/rating/
Drury University,Drury University SNU frat,https://www.drury.edu/life-at-drury/get-involved/sigma-nu-fraternity/,https://www.drury.edu/life-at-drury/get-involved/sigma-nu-fraternity/,https://www.drury.edu/life-at-drury/get-involved/sigma-nu-fraternity/
University of Maine,University of Maine SNU frat,https://umaine.edu/studentinvolvement/greek-life/,https://www.greekrank.com/uni/342/fraternity/SNU-Sigma-Nu/92/rating/,https://www.greekrank.com/uni/342/fraternity/SNU-Sigma-Nu/92/rating/
Lehigh University,Lehigh University SNU frat,https://studentaffairs.lehigh.edu/content/fraternity-and-sorority-life,https://studentaffairs.lehigh.edu/content/fraternity-and-sorority-life,https://studentaffairs.lehigh.edu/content/fraternity-and-sorority-life
Montana State University,Montana State University SNU frat,https://www.montana.edu/fslife/fraternities/signu.html,https://www.montana.edu/fslife/fraternities/signu.html,https://www.montana.edu/fslife/fraternities/signu.html
McKendree University,McKendree University SNU frat,https://www.mckendree.edu/offices/greek-life/index.php,https://www.mckendree.edu/offices/greek-life/index.php,https://www.greekrank.com/uni/860/fraternities/byname/
