Institution,Query,Link 1,Link 2,Link 3
Adelphi University,Adelphi University Delta_Chi frat,https://myaulife.adelphi.edu/organization/DeltaChi,https://www.greekrank.com/uni/124/fraternity/D-Chi-Delta-Chi/46/rating/,https://www.greekrank.com/uni/124/fraternity/D-Chi-Delta-Chi/46/rating/
Florida International University,Florida International University Delta_Chi frat,https://www.greekrank.com/uni/117/fraternities/,https://www.greekrank.com/uni/117/fraternities/,https://www.greekrank.com/uni/117/fraternities/
University of Wisconsin-Milwaukee,University of Wisconsin-Milwaukee Delta_Chi frat,https://uwm.edu/studentinvolvement/organizations/fraternity-sorority-life/,https://uwm.edu/studentinvolvement/organizations/fraternity-sorority-life/,https://uwm.edu/studentinvolvement/organizations/fraternity-sorority-life/
Colorado State University-Fort Collins,Colorado State University-Fort Collins Delta_Chi frat,https://fsl.colostate.edu/chapters/delta-chi/,https://fsl.colostate.edu/chapters/delta-chi/,https://colostatedeltachi.wixsite.com/home
Georgia Southern University,Georgia Southern University Delta_Chi frat,http://www.gsudeltachi.org/,http://www.gsudeltachi.org/,https://ww2.georgiasouthern.edu/students/greeklife/chapters/statesboro_chapters/
Mississippi State University,Mississippi State University Delta_Chi frat,http://msstatedeltachi.com/,https://www.greekrank.com/uni/98/fraternity/D-Chi-Delta-Chi/46/rating/,https://www.greekrank.com/uni/98/fraternity/D-Chi-Delta-Chi/46/rating/
The New School,The New School Delta_Chi frat,https://deltachi.org/growth-expansion/,https://deltachi.org/growth-expansion/,https://deltachi.org/
University of Northern Colorado,University of Northern Colorado Delta_Chi frat,https://www.unco.edu/bear-news/stories/042924-fraternity-life.aspx,https://www.unco.edu/bear-news/stories/042924-fraternity-life.aspx,https://www.unco.edu/bear-news/stories/042924-fraternity-life.aspx
Barton College,Barton College Delta_Chi frat,https://www.barton.edu/campus-life/activities/greek-life/,https://deltachi.org/for-parents/,https://deltachi.org/for-parents/
California State University-Long Beach,California State University-Long Beach Delta_Chi frat,https://csulb.campuslabs.com/engage/organization/delta-chi,https://www.greekrank.com/uni/202/fraternity/D-Chi-Delta-Chi/46/rating/,https://www.greekrank.com/uni/202/fraternity/D-Chi-Delta-Chi/46/rating/
Appalachian State University,Appalachian State University Delta_Chi frat,https://www.greekrank.com/uni/129/fraternity/D-Chi-Delta-Chi/46/rating/,https://www.greekrank.com/uni/129/fraternity/D-Chi-Delta-Chi/46/rating/,https://www.greekrank.com/uni/129/fraternity/D-Chi-Delta-Chi/46/rating/
Minnesota State University-Mankato,Minnesota State University-Mankato Delta_Chi frat,https://mankato.mnsu.edu/university-life/activities-and-organizations/fraternity-and-sorority-life/our-FSL-community/fraternities/,https://mankato.mnsu.edu/university-life/activities-and-organizations/fraternity-and-sorority-life/our-FSL-community/fraternities/,https://mankato.mnsu.edu/university-life/activities-and-organizations/fraternity-and-sorority-life/our-FSL-community/fraternities/
University of California-Riverside,University of California-Riverside Delta_Chi frat,https://www.greekrank.com/uni/322/fraternity/D-Chi-Delta-Chi/46/rating/,https://www.greekrank.com/uni/322/fraternity/D-Chi-Delta-Chi/46/rating/,https://www.greekrank.com/uni/322/fraternity/D-Chi-Delta-Chi/46/rating/
Frostburg State University,Frostburg State University Delta_Chi frat,http://www.frostburgadx.com/,http://www.frostburgadx.com/,https://www.frostburg.edu/student-engagement/civic-engagement/student-organizations/fraternity-and-sorority-life/fraternities-at-fsu/index.php
Washington State University,Washington State University Delta_Chi frat,https://www.greekrank.com/uni/379/fraternity/D-Chi-Delta-Chi/46/rating/,https://www.greekrank.com/uni/379/fraternity/D-Chi-Delta-Chi/46/rating/,https://www.greekrank.com/uni/379/fraternity/D-Chi-Delta-Chi/46/rating/
Augusta University,Augusta University Delta_Chi frat,https://www.greekrank.com/uni/702/fraternity/D-Chi-Delta-Chi/46/rating/,https://www.greekrank.com/uni/702/fraternity/D-Chi-Delta-Chi/46/rating/,https://www.greekrank.com/uni/702/fraternity/D-Chi-Delta-Chi/46/rating/
Cornell University,Cornell University Delta_Chi frat,https://www.greekrank.com/uni/90/fraternity/D-Chi-Delta-Chi/46/rating/,https://www.greekrank.com/uni/90/fraternity/D-Chi-Delta-Chi/46/rating/,https://www.greekrank.com/uni/90/fraternity/D-Chi-Delta-Chi/46/rating/
University of Mary Washington,University of Mary Washington Delta_Chi frat,https://theweeklyringer.com/2022/10/06/greek-life-an-integral-part-of-the-umw-community/,https://uwifc.com/fraternities,https://uwifc.com/fraternities
University of South Carolina Beaufort,University of South Carolina Beaufort Delta_Chi frat,https://www.uscb.edu/campus-life/student-development/student-life/fraternity-and-sorority-life/index.html,https://www.uscb.edu/campus-life/student-development/student-life/fraternity-and-sorority-life/index.html,https://www.uscb.edu/campus-life/student-development/student-life/fraternity-and-sorority-life/index.html
Amherst College,Amherst College Delta_Chi frat,https://archivesspace.amherst.edu/repositories/2/resources/201,https://archivesspace.amherst.edu/repositories/2/resources/201,https://www.amherst.edu/library/archives/holdings/frats
Clemson University,Clemson University Delta_Chi frat,https://www.clemsonifc.com/delta-chi,https://www.greekrank.com/uni/213/fraternity/D-Chi-Delta-Chi/46/rating/,https://www.greekrank.com/uni/213/fraternity/D-Chi-Delta-Chi/46/rating/
Western Illinois University,Western Illinois University Delta_Chi frat,https://www.greekrank.com/uni/385/fraternities/,https://www.greekrank.com/uni/385/fraternities/,https://www.greekrank.com/uni/385/fraternities/
Dickinson College,Dickinson College Delta_Chi frat,https://www.dickinson.edu/homepage/995/fraternity_andamp_sorority_life,https://www.dickinson.edu/homepage/995/fraternity_andamp_sorority_life,https://www.dickinson.edu/homepage/995/fraternity_andamp_sorority_life
Northeastern University,Northeastern University Delta_Chi frat,https://www.greekrank.com/uni/108/fraternities/,https://www.greekrank.com/uni/108/fraternities/,https://www.greekrank.com/uni/108/fraternities/
Trine University,Trine University Delta_Chi frat,https://www.trine.edu/campus-life/clubs-organizations/delta-chi.aspx,http://tristatedeltachi.org/join/become-a-brother/,https://www.greekrank.com/uni/670/fraternity/D-Chi-Delta-Chi/46/rating/rating-1891703/
Embry-Riddle Aeronautical University-Daytona Beach,Embry-Riddle Aeronautical University-Daytona Beach Delta_Chi frat,https://campusgroups.erau.edu/fsl/home/,https://campusgroups.erau.edu/fsl/home/,https://lift.erau.edu/new-delta-chi-fellowship-is-an-investment-in-leaders/
Villanova University,Villanova University Delta_Chi frat,https://deltachi.org/delta-chi-announces-expansion-at-villanova-university/,https://www1.villanova.edu/university/student-life/ofsl.html,https://www1.villanova.edu/university/student-life/ofsl.html
University at Buffalo,University at Buffalo Delta_Chi frat,https://www.buffalo.edu/studentlife/life-on-campus/clubs-and-activities/search/fraternity-and-sorority-life.html,https://www.buffalo.edu/studentlife/life-on-campus/clubs-and-activities/search/fraternity-and-sorority-life.html,https://www.buffalo.edu/studentlife/life-on-campus/clubs-and-activities/search/fraternity-and-sorority-life.html
The University of Texas at El Paso,The University of Texas at El Paso Delta_Chi frat,https://www.utep.edu/student-affairs/fraternity-and-sorority-life/,https://www.utep.edu/student-affairs/fraternity-and-sorority-life/,https://www.utep.edu/student-affairs/fraternity-and-sorority-life/
Coastal Carolina University,Coastal Carolina University Delta_Chi frat,https://deltachi.org/delta-chi-returns-to-coastal-carolina/,https://deltachi.org/delta-chi-returns-to-coastal-carolina/,https://www.coastal.edu/osl/greek/
West Texas A & M University,West Texas A & M University Delta_Chi frat,https://www.wtamu.edu/student-life/student-engagement-leadership/greek-life/fraternities.html,https://www.wtamu.edu/student-life/student-engagement-leadership/greek-life/fraternities.html,https://www.wtamu.edu/student-life/student-engagement-leadership/greek-life/fraternities.html
Louisiana Tech University,Louisiana Tech University Delta_Chi frat,https://www.latech.edu/student-organizations/delta-chi-fraternity/,https://www.latech.edu/student-organizations/delta-chi-fraternity/,https://www.latech.edu/student-organizations/delta-chi-fraternity/
